scenario,asset_id,surface,usable_area_m2,module_efficiency,capacity_kwp,performance_ratio,source_type
conservative,academic_a,roof,1890.0,0.18,340.2,0.74,blueprint_design_and_engineering_assumption
conservative,academic_a,facade_south,1148.0,0.18,206.64,0.66,blueprint_design_and_engineering_assumption
conservative,academic_a,facade_east,820.0,0.18,147.6,0.66,blueprint_design_and_engineering_assumption
conservative,academic_a,facade_west,820.0,0.18,147.6,0.66,blueprint_design_and_engineering_assumption
conservative,academic_a,facade_north,491.99999999999994,0.18,88.55999999999999,0.66,blueprint_design_and_engineering_assumption
conservative,residence_b,roof,1260.0,0.18,226.79999999999998,0.74,blueprint_design_and_engineering_assumption
conservative,residence_b,facade_south,779.0,0.18,140.22,0.66,blueprint_design_and_engineering_assumption
conservative,residence_b,facade_east,779.0,0.18,140.22,0.66,blueprint_design_and_engineering_assumption
conservative,residence_b,facade_west,779.0,0.18,140.22,0.66,blueprint_design_and_engineering_assumption
conservative,residence_b,facade_north,779.0,0.18,140.22,0.66,blueprint_design_and_engineering_assumption
conservative,community_hub_c,roof,972.0,0.18,174.95999999999998,0.74,blueprint_design_and_engineering_assumption
conservative,community_hub_c,facade_south,491.99999999999994,0.18,88.55999999999999,0.66,blueprint_design_and_engineering_assumption
conservative,community_hub_c,facade_east,245.99999999999997,0.18,44.279999999999994,0.66,blueprint_design_and_engineering_assumption
conservative,community_hub_c,facade_west,307.5,0.18,55.35,0.66,blueprint_design_and_engineering_assumption
conservative,community_hub_c,facade_north,184.5,0.18,33.21,0.66,blueprint_design_and_engineering_assumption
conservative,public_infrastructure,canopy_and_footbridge,1530.0,0.18,275.4,0.72,blueprint_design_and_engineering_assumption
design,academic_a,roof,2100.0,0.2,420.0,0.82,blueprint_design_and_engineering_assumption
design,academic_a,facade_south,1400.0,0.2,280.0,0.74,blueprint_design_and_engineering_assumption
design,academic_a,facade_east,1000.0,0.2,200.0,0.74,blueprint_design_and_engineering_assumption
design,academic_a,facade_west,1000.0,0.2,200.0,0.74,blueprint_design_and_engineering_assumption
design,academic_a,facade_north,600.0,0.2,120.0,0.74,blueprint_design_and_engineering_assumption
design,residence_b,roof,1400.0,0.2,280.0,0.82,blueprint_design_and_engineering_assumption
design,residence_b,facade_south,950.0,0.2,190.0,0.74,blueprint_design_and_engineering_assumption
design,residence_b,facade_east,950.0,0.2,190.0,0.74,blueprint_design_and_engineering_assumption
design,residence_b,facade_west,950.0,0.2,190.0,0.74,blueprint_design_and_engineering_assumption
design,residence_b,facade_north,950.0,0.2,190.0,0.74,blueprint_design_and_engineering_assumption
design,community_hub_c,roof,1080.0,0.2,216.0,0.82,blueprint_design_and_engineering_assumption
design,community_hub_c,facade_south,600.0,0.2,120.0,0.74,blueprint_design_and_engineering_assumption
design,community_hub_c,facade_east,300.0,0.2,60.0,0.74,blueprint_design_and_engineering_assumption
design,community_hub_c,facade_west,375.0,0.2,75.0,0.74,blueprint_design_and_engineering_assumption
design,community_hub_c,facade_north,225.0,0.2,45.0,0.74,blueprint_design_and_engineering_assumption
design,public_infrastructure,canopy_and_footbridge,1800.0,0.2,360.0,0.8,blueprint_design_and_engineering_assumption
optimistic,academic_a,roof,2268.0,0.22,498.96,0.87,blueprint_design_and_engineering_assumption
optimistic,academic_a,facade_south,1568.0000000000002,0.22,344.96000000000004,0.8,blueprint_design_and_engineering_assumption
optimistic,academic_a,facade_east,1120.0,0.22,246.4,0.8,blueprint_design_and_engineering_assumption
optimistic,academic_a,facade_west,1120.0,0.22,246.4,0.8,blueprint_design_and_engineering_assumption
optimistic,academic_a,facade_north,672.0000000000001,0.22,147.84000000000003,0.8,blueprint_design_and_engineering_assumption
optimistic,residence_b,roof,1512.0,0.22,332.64,0.87,blueprint_design_and_engineering_assumption
optimistic,residence_b,facade_south,1064.0,0.22,234.08,0.8,blueprint_design_and_engineering_assumption
optimistic,residence_b,facade_east,1064.0,0.22,234.08,0.8,blueprint_design_and_engineering_assumption
optimistic,residence_b,facade_west,1064.0,0.22,234.08,0.8,blueprint_design_and_engineering_assumption
optimistic,residence_b,facade_north,1064.0,0.22,234.08,0.8,blueprint_design_and_engineering_assumption
optimistic,community_hub_c,roof,1166.4,0.22,256.608,0.87,blueprint_design_and_engineering_assumption
optimistic,community_hub_c,facade_south,672.0000000000001,0.22,147.84000000000003,0.8,blueprint_design_and_engineering_assumption
optimistic,community_hub_c,facade_east,336.00000000000006,0.22,73.92000000000002,0.8,blueprint_design_and_engineering_assumption
optimistic,community_hub_c,facade_west,420.00000000000006,0.22,92.40000000000002,0.8,blueprint_design_and_engineering_assumption
optimistic,community_hub_c,facade_north,252.00000000000003,0.22,55.440000000000005,0.8,blueprint_design_and_engineering_assumption
optimistic,public_infrastructure,canopy_and_footbridge,1980.0000000000002,0.22,435.6000000000001,0.85,blueprint_design_and_engineering_assumption
